"","BUILDINGNA","BLOCK","ROAD","POSTALCODE","XCOORD","YCOORD"
"243","null","426","TANJONG KATONG ROAD","437141","35073.9945868","31410.8178808"
"244","null","424","TANJONG KATONG ROAD","437140","35072.7258135","31425.0896891"
"245","NIL","NIL","TANJONG KATONG ROAD","NIL","35111.11010000287","31419.416499882536"
"246","TANJONG KATONG ROAD SOUTH PLAYGROUND","NIL","NIL","NIL","35113.9196341646","31462.3810445437"
"247","EAST COAST PARK","NIL","NIL","NIL","38192.333499122","31866.1536276114"
"248","SKI 360Â° CABLE SKI PARK","1206A","EAST COAST PARKWAY","449891","38957.0860224","32004.0660333"
"249","SINGAPORE BOTANIC GARDENS (BOTANY CENTRE)","1","CLUNY ROAD","259569","26334.6091397","32240.554183"
"250","PASIR RIS PARK","NIL","NIL","NIL","41044.4894275185","40379.1542222409"
"251","null","161","PASIR RIS ROAD","519141","40550.9315462","40692.7842983"
"252","null","155","PASIR RIS ROAD","519138","40504.3062295","40725.448568"
"253","CSC @ LOYANG","159W","JALAN LOYANG BESAR","507020","42302.9571897","40316.274553"
"254","null","163","PASIR RIS ROAD","519142","40576.2864611","40681.9054703"
"255","NIL","NIL","PASIR RIS ROAD","NIL","40340.99139998742","40666.128000012846"
"256","NIL","NIL","ANG MO KIO AVENUE 1","NIL","28517.04770001546","38590.03509998347"
"257","NIL","NIL","CLOVER CRESCENT","NIL","29241.285300009255","36977.66379996074"
"258","CLOVER PARK","42","CLOVER CRESCENT","579207","29265.8153771","36964.0061263"
"259","CLOVER PARK","38","CLOVER CRESCENT","579205","29257.3398272","36950.1291033"
"260","CLOVER PARK","40","CLOVER CRESCENT","579206","29261.1032272","36954.9154704"
"261","CLOVER PARK","36","CLOVER CRESCENT","579204","29252.0425062","36946.9269928"
"262","CLOVER PARK","34","CLOVER CRESCENT","579203","29243.6805217","36944.2097148"
"263","CLOVER PARK","32","CLOVER CRESCENT","579202","29245.9744717","36935.5824314"
"264","CLOVER PARK","44","CLOVER CRESCENT","579208","29275.8431904","36968.9573329"
"265","CLOVER PARK","23","CLOVER CRESCENT","579197","29204.7254451","36947.580872"
"266","CLOVER PARK","62","CLOVER AVENUE","579345","29194.0660903","36961.6531841"
"267","CLOVER PARK","30","CLOVER CRESCENT","579201","29237.2843217","36927.1178687"
"268","CLOVER PARK","46","CLOVER CRESCENT","579209","29285.5660235","36973.6762931"
"269","CLOVER PARK","59","CLOVER AVENUE","579342","29211.8889385","37037.5762745"
"270","CLOVER PARK","61","CLOVER AVENUE","579344","29207.2796392","37042.0661667"
"271","CLOVER PARK","57","CLOVER AVENUE","579340","29190.3932218","37016.0120614"
"272","CLOVER PARK","91","CLOVER AVENUE","579363","29242.6051608","37062.6905287"
"273","CLOVER PARK","63","CLOVER AVENUE","579346","29202.9263161","37046.3147625"
"274","CLOVER PARK","55","CLOVER AVENUE","579338","29184.7991234","37019.0615002"
"275","LAUW AND SONS GARDEN","80","CLOVER AVENUE","579352","29274.7066882","37047.7322425"
"276","CLOVER PARK","89","CLOVER AVENUE","579361","29237.0541639","37067.0666738"
"277","CLOVER PARK","65","CLOVER AVENUE","579347","29198.1925851","37050.20099"
"278","CLOVER PARK","53","CLOVER AVENUE","579336","29180.2255402","37023.0312674"
"279","NIL","NIL","CLOVER AVENUE","NIL","29233.489699953065","37015.98749996078"
"280","LAUW AND SONS GARDEN","51","CLOVER CRESCENT","579212","29292.3934212","37032.1635418"
"281","CLOVER PARK","87","CLOVER AVENUE","579359","29233.9916493","37072.7688592"
"282","CLOVER CRESCENT PLAYGROUND","NIL","NIL","NIL","29237.7705668056","36998.3978719458"
"283","NIL","NIL","SOO CHOW WAY","NIL","27865.95830000865","37258.80169996418"
"284","SOO CHOW GARDEN","62","SOO CHOW DRIVE","575556","27829.2927535","37240.9919867"
"285","SOO CHOW GARDEN","60","SOO CHOW DRIVE","575555","27825.2405364","37245.8108011"
"286","NEW SOO CHOW GARDENS","25","SOO CHOW WAY","575322","27879.40812","37225.7608951"
"287","NEW SOO CHOW GARDENS","27","SOO CHOW WAY","575323","27874.2592938","37223.3528652"
"288","NEW SOO CHOW GARDENS","23","SOO CHOW WAY","575321","27885.5979832","37228.5917689"
"289","NEW SOO CHOW GARDENS","29","SOO CHOW WAY","575324","27868.0938266","37220.4674486"
"290","NEW SOO CHOW GARDENS","21","SOO CHOW WAY","575320","27890.7091863","37231.0537969"
"291","NEW SOO CHOW GARDENS","18","SOO CHOW WAY","575349","27895.3048953","37277.8969826"
"292","NEW SOO CHOW GARDENS","31","SOO CHOW WAY","575325","27862.9558667","37218.0747644"
"293","NEW SOO CHOW GARDENS","19","SOO CHOW WAY","575319","27896.9008353","37233.9498679"
"294","NEW SOO CHOW GARDENS","17","SOO CHOW WAY","575318","27902.0405811","37236.3185797"
"295","NEW SOO CHOW GARDENS","14","SOO CHOW WAY","575315","27907.1700963","37284.0264611"
"296","NEW SOO CHOW GARDENS","15","SOO CHOW WAY","575316","27914.6299436","37242.8739591"
"297","NEW SOO CHOW GARDENS","13","SOO CHOW WAY","575314","27919.9704266","37244.9426245"
"298","NEW SOO CHOW GARDENS","12","SOO CHOW WAY","575313","27913.0306438","37286.5642197"
"299","SOO CHOW WALK PLAYGROUND","NIL","NIL","NIL","27857.480685241","37308.6593786711"
"300","NEW SOO CHOW GARDENS","16","SOO CHOW WAY","575317","27898.2317488","37291.2392308"
"301","SOO CHOW GARDEN","58","SOO CHOW DRIVE","575554","27814.013445","37255.8126444"
"302","SOO CHOW GARDEN","56","SOO CHOW DRIVE","575553","27810.7597578","37261.4803546"
"303","SOO CHOW GARDEN","54","SOO CHOW DRIVE","575552","27805.2495017","37264.3041759"
"304","SOO CHOW GARDEN","52","SOO CHOW DRIVE","575551","27801.1105365","37268.9115986"
"305","SOO CHOW GARDEN","50","SOO CHOW DRIVE","575550","27796.740324","37273.164432"
"306","SOO CHOW GARDEN","48","SOO CHOW DRIVE","575549","27793.1694283","37278.2413111"
"307","SOO CHOW GARDEN","46","SOO CHOW DRIVE","575548","27789.0341256","37282.593605"
"308","SOO CHOW GARDEN","44","SOO CHOW DRIVE","575547","27783.6394931","37285.923053"
"309","NEW SOO CHOW GARDENS","10","SOO CHOW WAY","575311","27918.5684741","37288.9693137"
"310","NEW SOO CHOW GARDENS","8","SOO CHOW WAY","575309","27924.4734248","37291.4126664"
"311","NEW SOO CHOW GARDENS","6","SOO CHOW WAY","575307","27929.9990874","37293.8871043"
"312","NEW SOO CHOW GARDENS","4","SOO CHOW WAY","575305","27935.9608813","37296.2680142"
"313","SOO CHOW GARDEN","57","SOO CHOW GARDEN ROAD","575510","27802.6924322","37330.6539874"
"314","SOO CHOW GARDEN","61","SOO CHOW GARDEN ROAD","575512","27789.1293487","37326.3265132"
"315","SOO CHOW GARDEN","59","SOO CHOW GARDEN ROAD","575511","27792.7977677","37331.6713246"
"316","SOO CHOW GARDEN","55","SOO CHOW GARDEN ROAD","575509","27802.1304162","37339.5849494"
"317","SOO CHOW GARDEN","51","SOO CHOW GARDEN ROAD","575507","27811.3432338","37347.7377519"
"318","SOO CHOW GARDEN","49","SOO CHOW GARDEN ROAD","575506","27815.0037227","37352.6844182"
"319","SOO CHOW GARDEN","53","SOO CHOW GARDEN ROAD","575508","27805.3425455","37345.0708096"
"320","SOO CHOW GARDEN","47","SOO CHOW GARDEN ROAD","575505","27818.8068645","37357.398354"
"321","SOO CHOW GARDEN","45","SOO CHOW GARDEN ROAD","575504","27825.9122132","37355.952513"
"322","JALAN PINTAU PLAYGROUND","NIL","NIL","NIL","28740.0627003735","37338.4605792873"
"323","SOO CHOW GARDEN","63","SOO CHOW WALK","575367","27904.416981","37365.8878273"
"324","SOO CHOW GARDEN","61","SOO CHOW WALK","575366","27903.4787038","37376.9623074"
"325","SOO CHOW GARDEN","59","SOO CHOW WALK","575365","27891.7525237","37383.0603981"
"326","SOO CHOW GARDEN","57","SOO CHOW WALK","575364","27885.6625751","37384.8498716"
"327","THOMSON PARK","1","JALAN IKAN MERAH","578032","28123.7625817","37357.2718338"
"328","NIL","NIL","JALAN PINTAU","NIL","28719.74730003263","37368.61779996601"
"329","NIL","NIL","JALAN KELI","NIL","28110.649200044692","37373.708399966206"
"330","THOMSON PARK","3","JALAN IKAN MERAH","578034","28130.7178919","37368.3634154"
"331","THOMSON PARK","5","JALAN IKAN MERAH","578036","28133.7095794","37374.6308252"
"332","THOMSON PARK","7","JALAN IKAN MERAH","578038","28137.7346159","37381.0015396"
"333","THOMSON PARK","9","JALAN IKAN MERAH","578040","28139.8043104","37388.1323133"
"334","ZEH SHING KEONG TEMPLE","20","JALAN KELI","577905","28127.1202394","37399.7397824"
"335","THE INGLEWOOD","54","THE INGLEWOOD","575083","27666.5839683","38137.2678161"
"336","THE INGLEWOOD PLAYGROUND","NIL","NIL","NIL","27639.9126723838","38124.0599336828"
"337","ISLAND GARDENS WALK PLAYGROUND","NIL","NIL","NIL","27454.2533031738","38231.0144159166"
"338","NIL","NIL","FULTON AVENUE","NIL","28041.70030000857","38239.85709997871"
"339","FULTON AVENUE PLAYGROUND","NIL","NIL","NIL","28026.5989938556","38242.4955941208"
"340","null","26","JALAN REBANA","576996","27454.1589","38252.7150213"
"341","NIL","NIL","SIN MING AVENUE","NIL","28014.76759996184","38251.9792999788"
"342","PEARL'S HILL CITY PARK","NIL","NIL","NIL","28730.1508113321","29656.792940474"
"343","NIL","NIL","EAST COAST PARK SERVICE ROAD","NIL","35339.76369995239","31080.604999877785"
"344","EAST COAST PARK OFFICE","906","EAST COAST PARKWAY","449895","35574.2007432","31122.4880947"
"345","RAINTREE COVE","1018","EAST COAST PARKWAY","449877","37226.1729635","31608.5969377"
"346","HILLVIEW CRESCENT PLAYGROUND","NIL","NIL","NIL","19952.1884193536","37492.3808690286"
"347","CHU YEN PLAYGROUND","NIL","NIL","NIL","19725.9076565436","37857.2052374057"
"348","NIL","NIL","LORONG KEMUNCHUP","NIL","19957.789300015742","38049.17769997587"
"349","JALAN DERMAWAN PLAYGROUND","NIL","NIL","NIL","19686.4780121458","38077.9562919751"
"350","LORONG KEMUNCHUP PARK","NIL","NIL","NIL","19944.5837736968","38051.2632935312"
"351","HINDHEDE NATURE PARK","NIL","NIL","NIL","21623.6281173421","36923.5206288466"
"352","LABRADOR PARK","NIL","NIL","NIL","24629.7700118632","27590.1932977681"
"353","CHANGI BEACH PARK","NIL","NIL","NIL","46559.4216651278","40379.3810463719"
"354","PASIR RIS TOWN PARK","NIL","NIL","NIL","41254.468676471","39284.0228867479"
"355","PASIR RIS CENTRAL HAWKER CENTRE","110","PASIR RIS CENTRAL","519641","41160.0900947","39497.4541308"
"356","UPPER SELETAR RESERVOIR PARK","NIL","NIL","NIL","25014.4964861935","42470.8268606994"
"357","SUNGEI API API PARK","NIL","NIL","NIL","40548.8887593317","40097.5771095767"
"358","HENRY PARK","48","GROVE DRIVE","279088","22400.0696988","32760.3734137"
"359","NIL","NIL","HOLLAND GROVE VIEW","NIL","22224.115000014404","32809.58669990206"
"360","GROVE LANE PLAYGROUND","NIL","NIL","NIL","22528.5859733367","32885.5062529002"
"361","JALAN KEBAYA PLAYGROUND","NIL","NIL","NIL","22093.8959121073","32933.533446129"
"362","NIL","NIL","HOLLAND GROVE AVENUE","NIL","22094.069200037025","32926.60769990388"
"363","NIL","NIL","GROVE LANE","NIL","22535.897999993238","32939.342399904526"
"364","NIL","NIL","MOUNT SINAI PLAIN","NIL","22224.445200002676","33097.718799906615"
"365","MOUNT SINAI PLAIN PLAYGROUND","NIL","NIL","NIL","22197.2605678475","33106.0458598485"
"366","KINGS VILLE","33","KING'S DRIVE","266400","24967.8614526","33454.5509146"
"367","KING'S DRIVE PLAYGROUND","NIL","NIL","NIL","24966.7352266552","33484.2539704303"
"368","HOLLAND GREEN","59","HOLLAND GREEN","276175","22374.8892788","34313.9540744"
"369","HOLLAND GREEN PLAYGROUND","NIL","NIL","NIL","22378.9817826129","34340.2170206938"
"370","BUKIT BATOK NATURE PARK","NIL","NIL","NIL","20310.9342217775","36919.5384028864"
"371","THE FLOAT @ MARINA BAY","20","RAFFLES AVENUE","039805","30862.1697233","30177.2449028"
"372","YOUTH OLYMPIC PARK","NIL","NIL","NIL","31018.6964439817","30152.192400203"
"373","NIL","NIL","HILLVIEW CRESCENT","NIL","19956.047000010825","37494.127399967714"
"374","ANG MO KIO TOWN GARDEN WEST","NIL","NIL","NIL","29071.7762367919","39574.4658574552"
"375","null","979A","BUANGKOK CRESCENT","531979","33081.2241506","40161.3494221"
"376","BUANGKOK VALE","987B","BUANGKOK GREEN","532987","33004.0779309","40151.7492349"
"377","null","979B","BUANGKOK CRESCENT","532979","33125.7051925","40164.9219522"
"378","null","979C","BUANGKOK CRESCENT","533979","33189.9870651","40167.9698473"
"379","SUNGEI SERANGOON PARK","NIL","NIL","NIL","35958.0072754453","40608.8531440149"
"380","SENGKANG NEW TOWN","NIL","NIL","NIL","34024.9212193792","41478.0444428944"
"381","PUNGGOL PROMENADE RIVERSIDE WALK","NIL","NIL","NIL","37625.184241055","41883.0168427378"
"382","GELENGGANG PARK","NIL","NIL","NIL","27611.7485115586","39498.8107629583"
"383","ANG MO KIO TOWN GARDEN EAST","NIL","NIL","NIL","29909.5281210884","39189.7002736524"
"384","SHANGRI-LA PLAYGROUND","NIL","NIL","NIL","27899.2644464924","39234.4974858311"
"385","SEMBAWANG HILLS ESTATE","15","JALAN MENGKUDU","577395","27861.6233187","39270.1979623"
"386","SEMBAWANG HILLS ESTATE","17","JALAN MENGKUDU","577396","27868.5096179","39281.156728"
"387","SAINT NICHOLAS VIEW","1","SAINT NICHOLAS VIEW","567964","27923.5146259","39306.0627687"
"388","SEMBAWANG HILLS ESTATE","11","JALAN MENGKUDU","577394","27857.9395235","39258.7889301"
"389","SEMBAWANG HILLS ESTATE","19","JALAN MENGKUDU","577397","27871.6200467","39292.5589801"
"390","SAINT NICHOLAS VIEW","3","SAINT NICHOLAS VIEW","567966","27919.4877733","39310.2080295"
"391","null","10","TEBING LANE","828836","37357.3074895","41661.2673691"
"392","NIL","NIL","TEBING WALK","NIL","37407.65739996616","41665.57210002692"
"393","PUNGGOL WATERWAY","NIL","NIL","NIL","36526.5528589229","43043.1179513166"
"394","WATERWAY SUNRISE II","653","PUNGGOL DRIVE","820653","37659.6775036","42199.7689417"
"395","WATERWAY SUNRISE II","654D","PUNGGOL DRIVE","824654","37610.0768744","42267.3170626"
"396","WATERWAY SUNRISE I","655","PUNGGOL EAST","820655","37794.8392757","42341.967233"
"397","WATERWAY SUNRAY","658","PUNGGOL EAST","820658","37574.5811256","42420.7999242"
"398","WATERWAY PRIMARY SCHOOL","70","PUNGGOL DRIVE","828802","37493.0794339","42300.9820827"
"399","WATERWAY SUNRAY","658B","PUNGGOL EAST","822658","37540.6137587","42454.2081507"
"400","NIL","NIL","JALAN KURAS","NIL","27586.65919995963","39483.93289999648"
"401","NIL","NIL","ANG MO KIO AVENUE 6","NIL","29276.802099952813","39489.3678999965"
"402","null","300","NICOLL DRIVE","498989","45238.7823517","41533.8437886"
"403","null","50","ANCHORVALE STREET","544834","33813.6789675","42339.0794858"
"404","NIL","NIL","JALAN ANGIN LAUT","NIL","41675.985299958564","35487.86009993973"
"405","NIL","NIL","WATTEN PARK","NIL","25239.01479998247","34275.913599922394"
"406","LOWER PEIRCE RESERVOIR PARK","NIL","NIL","NIL","27252.6791687942","38998.4127824351"
"407","UPPER PEIRCE RESERVOIR PARK","NIL","NIL","NIL","25572.6071491064","39610.5564820565"
"408","NIL","NIL","UNNAMED ROAD","NIL","25532.60929996335","39625.3796999985"
"409","CENTRAL CATCHMENT NATURE RESERVE","NIL","NIL","NIL","24567.5317156161","39949.9892684"
"410","LEBAN PARK","NIL","NIL","NIL","27537.9714202031","39401.8751279085"
"411","NIL","NIL","JALAN GELENGGANG","NIL","27591.298699968695","39478.66039999575"
"412","HORTPARK - VISITOR SERVICE CENTRE","33","HYDERABAD ROAD","119578","24436.9604733","29024.0423205"
"413","HORTPARK","NIL","NIL","NIL","24231.8864415021","29058.3116809162"
"414","null","33","HYDERABAD ROAD","119578","24153.9792216","29041.0171203"
"415","KENT RIDGE PARK","NIL","NIL","NIL","23118.5813565086","29699.9452560828"
"416","KENT RIDGE HILL RESIDENCES","62","SOUTH BUONA VISTA ROAD","118173","23294.3333731","29291.8211445"
"417","KENT RIDGE HILL RESIDENCES","62A","SOUTH BUONA VISTA ROAD","117325","23254.3439487","29308.4071218"
"418","SAINT NICHOLAS VIEW","5","SAINT NICHOLAS VIEW","567968","27914.9856529","39314.7823997"
"419","SAINT NICHOLAS VIEW","7","SAINT NICHOLAS VIEW","567970","27911.0416741","39318.749927"
"420","SEMBAWANG HILLS ESTATE","21","JALAN MENGKUDU","577398","27876.3954568","39303.9394696"
"421","SEMBAWANG HILLS ESTATE","23","JALAN MENGKUDU","577399","27881.1590623","39315.2800356"
"422","SAINT NICHOLAS VIEW","9","SAINT NICHOLAS VIEW","567972","27906.5439122","39323.3304718"
"423","NIL","NIL","JALAN MENGKUDU","NIL","27914.56119997748","39287.4806999929"
"424","SAINT NICHOLAS VIEW","11","SAINT NICHOLAS VIEW","567974","27902.5986016","39327.2914612"
"425","SAINT NICHOLAS VIEW","2","SAINT NICHOLAS VIEW","567965","27955.6593457","39343.0206124"
"426","SAINT NICHOLAS VIEW","4","SAINT NICHOLAS VIEW","567967","27951.3644096","39346.1770788"
"427","SAINT NICHOLAS VIEW","6","SAINT NICHOLAS VIEW","567969","27945.2128656","39348.163839"
"428","SAINT NICHOLAS VIEW","8","SAINT NICHOLAS VIEW","567971","27939.933191","39349.849009"
"429","SHANGRI-LA PARK","1","SHANGRI-LA CLOSE","568245","27966.1305546","39237.7790146"
"430","SAINT NICHOLAS VIEW PLAYGROUND","NIL","NIL","NIL","27943.9485749746","39301.7970818043"
"431","SAINT NICHOLAS VIEW","10","SAINT NICHOLAS VIEW","567973","27933.7675422","39351.7897013"
"432","WELLINGTON PARK","44","ELLINGTON SQUARE","568955","28148.7083037","39290.6565465"
"433","WELLINGTON PARK","147","ELLINGTON SQUARE","569007","28107.3593322","39274.4547305"
"434","WELLINGTON PARK","145","ELLINGTON SQUARE","569006","28111.8177154","39271.5096254"
"435","WELLINGTON PARK","149","ELLINGTON SQUARE","569008","28095.9087723","39278.9637217"
"436","WELLINGTON PARK","151","ELLINGTON SQUARE","569009","28089.9417723","39282.0800225"
"437","WELLINGTON PARK","2","ELLINGTON SQUARE","568913","28076.3378876","39320.7375044"
"438","WELLINGTON PARK","42","ELLINGTON SQUARE","568953","28154.8475588","39300.1270354"
"439","WELLINGTON PARK","143","ELLINGTON SQUARE","569005","28117.4224077","39267.9480826"
"440","WELLINGTON PARK","141","ELLINGTON SQUARE","569004","28122.8414361","39265.9505167"
"441","WELLINGTON PARK","4","ELLINGTON SQUARE","568915","28084.3227027","39326.0680595"
"442","WELLINGTON PARK","6","ELLINGTON SQUARE","568917","28092.5468771","39337.009754"
"443","WELLINGTON PARK","8","ELLINGTON SQUARE","568919","28096.0893814","39342.2870073"
"444","WELLINGTON PARK","10","ELLINGTON SQUARE","568921","28112.3436216","39347.8797134"
"445","ELLINGTON SQUARE PLAYGROUND","NIL","NIL","NIL","28136.2260481717","39337.0428802756"
"446","WELLINGTON PARK","38","ELLINGTON SQUARE","568949","28165.9765819","39322.6230484"
"447","WELLINGTON PARK","40","ELLINGTON SQUARE","568951","28155.5697226","39316.453041"
"448","WELLINGTON PARK","12","ELLINGTON SQUARE","568923","28110.9873133","39362.5450055"
"449","WELLINGTON PARK","36","ELLINGTON SQUARE","568947","28172.0667726","39328.1412651"
"450","WELLINGTON PARK","14","ELLINGTON SQUARE","568925","28115.7485276","39369.9700446"
"451","WELLINGTON PARK","16","ELLINGTON SQUARE","568927","28119.5365052","39375.1929063"
"452","WELLINGTON PARK","34","ELLINGTON SQUARE","568945","28170.7257799","39339.6656788"
"453","WELLINGTON PARK","24","ELLINGTON SQUARE","568935","28148.7833985","39380.1723528"
"454","WELLINGTON PARK","26","ELLINGTON SQUARE","568937","28173.5645535","39361.9602887"
"455","WELLINGTON PARK","28","ELLINGTON SQUARE","568939","28178.7706467","39358.405314"
"456","WELLINGTON PARK","22","ELLINGTON SQUARE","568933","28143.6274897","39383.8759736"
"457","WELLINGTON PARK","30","ELLINGTON SQUARE","568941","28189.3589322","39356.8050759"
"458","WELLINGTON PARK","20","ELLINGTON SQUARE","568931","28132.247091","39391.7530348"
"459","WELLINGTON PARK","75","ELLINGTON SQUARE","568971","28185.2166679","39405.0032684"
"460","WELLINGTON PARK","77","ELLINGTON SQUARE","568972","28191.5186437","39402.4370579"
"461","WELLINGTON PARK","79","ELLINGTON SQUARE","568973","28195.3140672","39397.9230422"
"462","WELLINGTON PARK","73","ELLINGTON SQUARE","568970","28180.8454867","39408.4010312"
"463","NIL","NIL","ELLINGTON SQUARE","NIL","28166.157000030606","39376.0601999944"
"464","SEMBAWANG HILLS FOOD CENTRE","590","UPPER THOMSON ROAD","574419","27521.4142993","39369.6331922"
"465","ESSO UPPER THOMSON","594","UPPER THOMSON ROAD","574420","27514.749713","39450.8565396"
"466","SEMBAWANG HILLS ESTATE","6","JALAN KURAS","577724","27588.4891501","39413.7463874"
"467","SEMBAWANG HILLS ESTATE","4","JALAN KURAS","577723","27589.2047155","39406.2768846"
"468","SEMBAWANG HILLS ESTATE","8","JALAN KURAS","577725","27586.5973708","39420.9491081"
"469","SEMBAWANG HILLS ESTATE","2","JALAN KURAS","577722","27586.4893141","39399.1674195"
"470","SEMBAWANG HILLS ESTATE","10","JALAN KURAS","577726","27586.6856928","39428.920787"
"471","SEMBAWANG HILLS ESTATE","12","JALAN KURAS","577727","27591.3346735","39435.84931"
"472","SEMBAWANG HILLS ESTATE","14","JALAN KURAS","577728","27586.6327238","39443.8736249"
"473","SEMBAWANG HILLS ESTATE","16","JALAN KURAS","577729","27589.5998337","39453.6701606"
"474","NIL","NIL","VIGILANTE DRIVE","NIL","23245.164899963846","29567.421499857242"
"475","NIL","NIL","TANJONG RHU VIEW","NIL","32071.754600022756","31150.017199878894"
"476","DI TANJONG RHU","10","JALAN BATU","431010","33516.5333587","31599.0802901"
"477","KALLANG/WHAMPOA NEW TOWN","NIL","NIL","NIL","33590.1864120315","31443.4408614206"
"478","NIL","NIL","EAST COAST PARKWAY","NIL","37564.61430003301","31848.78469988896"
