"","BUILDINGNA","BLOCK","ROAD","POSTALCODE","XCOORD","YCOORD"
"479","VICTORIA JUNIOR COLLEGE","20","MARINE VISTA","449035","37620.7694937","31914.0841"
"480","MARINE TERRACE WALK","1","MARINE TERRACE","440001","37492.7093473","31907.0427379"
"481","GOODMAN ARTS CENTRE (BLK B)","90","GOODMAN ROAD","439053","33693.505235","31906.5623245"
"482","ETONHOUSE INTERNATIONAL SCHOOL & PRE-SCHOOL (BROADRICK)(School Compound)","NIL","NIL","NIL","34193.1241354722","32006.7262001014"
"483","OCEAN PARK","528","EAST COAST ROAD","458969","37467.6244531","32305.2092255"
"484","SAINT PATRICK'S SCHOOL","490","EAST COAST ROAD","429058","37357.010379","32300.3091719"
"485","THE AMBROSIA","108","LORONG N TELOK KURAU","425262","37303.9926458","32501.9410707"
"486","THE AMBROSIA","106","LORONG N TELOK KURAU","425261","37279.1585521","32503.0305365"
"487","THE AMBROSIA","NIL","NIL","NIL","37291.853795501","32520.4359240459"
"488","FRANKEL ESTATE","17","DUNBAR WALK","459297","37286.5792326","32647.6637055"
"489","null","15A","DUNBAR WALK","459295","37299.6180444","32640.5030875"
"490","FRANKEL ESTATE","NIL","NIL","NIL","37476.5364590535","33114.6207126425"
"491","LORONG 40 GEYLANG PLAYGROUND","NIL","NIL","NIL","34237.2662164011","32881.9023338431"
"492","FRANKEL ESTATE","16","FRANKEL STREET","458061","37064.5294903","33168.8425781"
"493","FRANKEL ESTATE","13","FRANKEL DRIVE","458107","37055.71394","33190.2618984"
"494","FRANKEL ESTATE","14","FRANKEL STREET","458055","37078.6966622","33175.1400137"
"495","FRANKEL ESTATE","11","FRANKEL DRIVE","458104","37069.7883709","33196.2381907"
"496","THE VERTE","118","LORONG H TELOK KURAU","426146","36979.4304184","33205.0027091"
"497","TELOK KURAU PARK","NIL","NIL","NIL","36999.2116844082","33103.2930714648"
"498","FRANKEL ESTATE","10","FRANKEL DRIVE","458103","37037.2478972","33224.7837748"
"499","KEMBANGAN ESTATE","NIL","NIL","NIL","36304.2908775043","33895.1824808046"
"500","KEMBANGAN ESTATE","50","LORONG MELAYU","416930","36600.3129351","33667.7275975"
"501","KEMBANGAN ESTATE","37","LORONG MYDIN","416829","36663.9005812","33678.8120661"
"502","null","93","EASTWOOD ROAD","486402","41950.4049774","33859.074163"
"503","null","35","EASTWOOD WAY","486446","41922.7472743","33872.5164773"
"504","EASTWOOD PARK PLAYGROUND","NIL","NIL","NIL","41828.7028318477","33932.0367024091"
"505","null","33","EASTWOOD WAY","486363","41883.0837452","33903.3717507"
"506","null","31","EASTWOOD WAY","486552","41866.8355586","33907.7593976"
"507","null","29","EASTWOOD WAY","486551","41865.9334516","33894.8957467"
"508","null","27","EASTWOOD WAY","486550","41857.3282941","33889.2567305"
"509","WATERWAY SUNBEAM","664B","PUNGGOL DRIVE","822664","37407.3788161","42437.7341952"
"510","PUNGGOL NEW TOWN","NIL","NIL","NIL","36300.1525544391","43005.0962105345"
"511","CANADIAN INTERNATIONAL SCHOOL (LAKESIDE CAMPUS)","7","JURONG WEST STREET 41","649414","16260.6400665","36323.068677"
"512","JURONGVILLE @ AVENUE 1","487","JURONG WEST AVENUE 1","640487","16194.9800926","36760.9440956"
"513","JURONGVILLE @ AVENUE 1","485","JURONG WEST AVENUE 1","640485","16194.9643835","36719.1459169"
"514","JURONGVILLE@AVE 1","NIL","NIL","NIL","16145.1176735374","36785.421268585"
"515","JURONGVILLE @ AVENUE 1","489","JURONG WEST AVENUE 1","640489","16194.6130933","36810.6454566"
"516","null","346","JALAN BOON LAY","619528","13859.2952544","34756.7234325"
"517","null","342","JALAN BOON LAY","619527","13863.7217351","34803.2100007"
"518","null","6A","WAN LEE ROAD","627938","13796.0473059","34776.453315"
"519","null","8","WAN LEE ROAD","627940","13806.5851347","34810.4178065"
"520","null","10","WAN LEE ROAD","627942","13806.7041484","34837.2027625"
"521","null","12","WAN LEE ROAD","627944","13812.7869537","34865.1508869"
"522","THE FURNITURE MALL","10","TOH GUAN ROAD","608838","18614.3485718","35037.0617065"
"523","CJ LOGISTICS BUILDING","20","TOH GUAN ROAD","608839","18552.189614","35088.9280533"
"524","NIL","NIL","JURONG WEST STREET 93","NIL","12530.812099986773","35491.855999939595"
"525","JURONG EAST NEW TOWN","NIL","NIL","NIL","17392.0528237773","35870.4615708055"
"526","NIL","NIL","JURONG WEST STREET 64","NIL","13654.717400035559","35516.838699940614"
"527","null","986B","JURONG WEST STREET 93","642986","12665.4638061","35483.855806"
"528","null","986C","JURONG WEST STREET 93","643986","12680.9583199","35459.8652811"
"529","BEDOK NEW TOWN","NIL","NIL","NIL","38289.2796214383","34703.624368217"
"530","null","4","CHANGI SOUTH LANE","486127","41072.692684","35000.4468369"
"531","null","2","CHANGI SOUTH LANE","486123","41039.5573839","35093.7511354"
"532","MISTRAL PARK","28B","JALAN ANGIN LAUT","489223","41617.1621344","35683.7427556"
"533","MISTRAL PARK","22","JALAN ANGIN LAUT","489207","41626.2467973","35662.9345762"
"534","MISTRAL PARK","28A","JALAN ANGIN LAUT","489222","41610.9103732","35681.2193743"
"535","MISTRAL PARK","30","JALAN ANGIN LAUT","489226","41603.1389776","35726.2660038"
"536","MISTRAL PARK","22A","JALAN ANGIN LAUT","489208","41620.1336937","35660.0783076"
"537","SUNBIRD PARK","181","SUNBIRD ROAD","487219","41708.1197561","35698.9758146"
"538","MISTRAL PARK","28","JALAN ANGIN LAUT","489221","41605.5961628","35678.9074149"
"539","SUNBIRD VIEW","183A","SUNBIRD ROAD","487221","41669.2896257","35730.6679674"
"540","MISTRAL PARK","30A","JALAN ANGIN LAUT","489227","41595.3419147","35716.9171922"
"541","MISTRAL PARK","38A","JALAN ANGIN LAUT","489244","41598.0960288","35741.6100252"
"542","MISTRAL PARK","62","HARVEY AVENUE","489532","41579.4116025","35804.3669059"
"543","MISTRAL PARK","40","JALAN ANGIN LAUT","489247","41587.9849483","35781.3719555"
"544","DOUBLE BAY RESIDENCES","19","SIMEI STREET 4","529885","41654.4448747","35852.2101457"
"545","MISTRAL PARK","60","HARVEY AVENUE","489531","41573.0960666","35801.6811369"
"546","MISTRAL PARK","40A","JALAN ANGIN LAUT","489248","41581.6369652","35778.3660117"
"547","MISTRAL PARK","58","HARVEY AVENUE","489530","41567.7447779","35799.401534"
"548","SIMEI MRT STATION","30","SIMEI STREET 3","529888","41361.2281713","36149.7527796"
"549","TAMPINES NEW TOWN","NIL","NIL","NIL","40352.6186623951","37282.9170394586"
"550","NIL","NIL","TAMPINES STREET 11","NIL","41096.63710001198","36472.69039995351"
"551","D'RESORT @ DOWNTOWN EAST","1","PASIR RIS CLOSE","519599","41558.3870978","40238.8784712"
"552","ZHENGHUA PARK","NIL","NIL","NIL","21638.5749304221","39853.2599538046"
"553","NIL","NIL","NETHERAVON ROAD","NIL","45010.4528000322","41426.872800022684"
"554","SEMBAWANG NEW TOWN","NIL","NIL","NIL","27027.3804039989","48100.5749044869"
"555","null","3A","TOH GUAN ROAD EAST","608834","18665.0489671","35556.7007939"
"556","null","255","JALAN BOON LAY","619524","14375.3114986","35542.7414722"
"557","null","13","EASTWOOD WAY","486357","41795.7907288","33974.3116414"
"558","null","15","EASTWOOD WAY","486358","41791.0816359","33969.3600414"
"559","null","17","EASTWOOD WAY","486159","41783.9465641","33960.4694265"
"560","null","11","EASTWOOD WAY","486124","41765.1815947","34000.4548556"
"561","null","9","EASTWOOD WAY","486125","41749.7364782","34005.6930026"
"562","null","7","EASTWOOD WAY","486404","41747.1076736","33992.2775966"
"563","null","54","EASTWOOD DRIVE","486143","41731.5936369","34019.393412"
"564","null","5","EASTWOOD WAY","486403","41740.291475","33985.9015853"
"565","null","19","EASTWOOD WAY","486160","41778.4761103","33955.8738083"
"566","null","56","EASTWOOD DRIVE","486144","41736.6953661","34024.1639186"
"567","null","55","EASTWOOD DRIVE","486146","41697.7356887","34059.5400483"
"568","null","53","EASTWOOD DRIVE","486145","41692.9161782","34054.8253256"
"569","null","51","EASTWOOD DRIVE","486360","41683.6625291","34051.1363848"
"570","null","49","EASTWOOD DRIVE","486359","41678.7130479","34046.5703989"
"571","null","52","EASTWOOD DRIVE","486562","41721.1102602","34011.353055"
"572","BEDOK PESARI","82","JALAN GREJA","488945","41674.0292893","34081.1942784"
"573","null","50","EASTWOOD DRIVE","486561","41716.9830087","34007.4217585"
"574","null","80","JALAN GREJA","488943","41664.6521771","34075.850254"
"575","BEDOK PESARI","59","TAMAN BEDOK","487102","41574.6016264","34153.0478082"
"576","RIA TOWNHOUSES","121","BEDOK RIA CRESCENT","489932","41536.0973611","34190.4249543"
"577","RIA TOWNHOUSES","119","BEDOK RIA CRESCENT","489931","41531.9973811","34194.0934037"
"578","RIA TOWNHOUSES","123","BEDOK RIA CRESCENT","489933","41540.4970849","34187.0594572"
"579","RIA TOWNHOUSES","125","BEDOK RIA CRESCENT","489934","41548.0550912","34186.688856"
"580","BEDOK RIA","109","BEDOK RIA CRESCENT","489920","41495.8551687","34221.5302413"
"581","BEDOK RIA","111","BEDOK RIA CRESCENT","489922","41499.6383337","34215.6367924"
"582","BEDOK RIA","97","BEDOK RIA CRESCENT","489913","41455.5964197","34254.5947445"
"583","BEDOK RIA","95","BEDOK RIA CRESCENT","489911","41451.1269281","34258.7473303"
"584","BEDOK RIA","99","BEDOK RIA CRESCENT","489914","41460.066335","34250.4419166"
"585","BEDOK RIA","93","BEDOK RIA CRESCENT","489909","41446.6577998","34262.9010057"
"586","BEDOK RIA","101","BEDOK RIA CRESCENT","489915","41464.5352212","34246.2888466"
"587","BEDOK RIA","91","BEDOK RIA CRESCENT","489907","41442.0080019","34267.2645896"
"588","BEDOK RIA","103","BEDOK RIA CRESCENT","489916","41469.2316621","34241.8828573"
"589","BEDOK RIA","105","BEDOK RIA CRESCENT","489917","41478.5504478","34232.8413868"
"590","BEDOK RIA","89","BEDOK RIA CRESCENT","489905","41434.1020348","34272.7170036"
"591","BEDOK RIA","107","BEDOK RIA CRESCENT","489918","41490.994645","34235.5073605"
"592","BEDOK RIA","79","BEDOK RIA CRESCENT","489895","41413.3712204","34301.2792957"
"593","BEDOK RIA","73","BEDOK RIA CRESCENT","489889","41388.7799667","34315.3316309"
"594","BEDOK RIA","71","BEDOK RIA CRESCENT","489887","41385.0859106","34320.1352204"
"595","BEDOK RIA","75","BEDOK RIA CRESCENT","489891","41398.490178","34304.2172575"
"596","BEDOK RIA","69","BEDOK RIA CRESCENT","489885","41381.3654912","34324.9692293"
"597","BEDOK RIA","77","BEDOK RIA CRESCENT","489893","41402.7300567","34299.67933"
"598","BEDOK RIA","67","BEDOK RIA CRESCENT","489883","41377.6450717","34329.8032079"
"599","BEDOK RIA","65","BEDOK RIA CRESCENT","489881","41373.9246824","34334.6369141"
"600","BEDOK RIA","63","BEDOK RIA CRESCENT","489879","41373.1377451","34341.7225583"
"601","BEDOK RIA","81","BEDOK RIA CRESCENT","489897","41418.360504","34297.5919893"
"602","NIL","NIL","BEDOK RIA CRESCENT","NIL","41351.70449998713","34412.06749992502"
"603","null","55","BEDOK RIA CRESCENT","489871","41297.4244724","34460.2589139"
"604","BEDOK RIA","45","BEDOK RIA CRESCENT","489861","41264.1887734","34494.6219136"
"605","STRATFORD COURT","41A","BEDOK RIA CRESCENT","489929","41259.5823797","34526.4436135"
"606","NEIGHBOURHOOD PARK","NIL","NIL","NIL","36605.4548620959","34553.4688607967"
"607","CSC @ CHANGI","2","NETHERAVON ROAD","508503","45019.3336886","41472.0493692"
"608","VILLAGE HOTEL CHANGI","1","NETHERAVON ROAD","508502","45007.9713599","41364.5947581"
"609","MEYERHOUSE","128","MEYER ROAD","437938","34691.8261513","31188.0194296"
"610","MEYER ROAD PLAYGROUND","NIL","NIL","NIL","34775.9786912702","31214.9016775149"
"611","VISTA 18","715","CLEMENTI WEST STREET 2","120715","20056.6213043","31721.7352708"
"612","VISTA 18","716","CLEMENTI WEST STREET 2","120716","20182.3427344","31585.0914269"
"613","CLEMENTI NEW TOWN","NIL","NIL","NIL","20514.2581377521","32638.4229808625"
"614","null","711","CLEMENTI WEST STREET 2","120711","19963.5192868","31908.6794489"
"615","null","705","CLEMENTI WEST STREET 2","120705","19912.7326066","31999.3494339"
"616","CLEMENTI ARCADE","41","SUNSET WAY","597071","20676.7729423","33977.3658928"
"617","FREESIA WOODS","63","SUNSET WAY","597088","20592.0446835","33964.8912763"
"618","CLEMENTI MEADOWS","305","CLEMENTI AVENUE 4","120305","20509.2569052","33809.6206363"
"619","NIL","NIL","BUSINESS PARK DRIVE","NIL","19024.81110003062","33873.739399917475"
"620","FABER CREST","50J","FABER HEIGHTS","129203","19709.3599961","33894.6760011"
"621","null","33","CHIN BEE CRESCENT","619901","14766.3529633","35541.283645"
"622","null","11","CHIN BEE DRIVE","619862","14835.488973","35548.8518517"
"623","null","249","JALAN BOON LAY","619523","14785.1812231","35629.1214246"
"624","null","3B","TOH GUAN ROAD EAST","608833","18674.805095","35622.3706654"
"625","null","338","JALAN BOON LAY","619526","14178.8385355","35566.366935"
"626","ST ODEC","15","CHIN BEE DRIVE","619863","14890.45209","35623.9904565"
"627","null","31","CORPORATION ROAD","649825","14866.5411093","35676.9188992"
"628","null","664B","JURONG WEST STREET 64","642664","13562.1005812","35614.298073"
"629","null","664A","JURONG WEST STREET 64","641664","13541.1578909","35708.5409212"
"630","MULTI STOREY CAR PARK","664","JURONG WEST STREET 64","640664","13514.912613","35742.9375789"
"631","LAKESIDE GROVE","49","CORPORATION RISE","618363","15035.2235232","35729.3259153"
"632","LAKESIDE GROVE","51","CORPORATION RISE","618365","15040.6870759","35732.4191519"
"633","LAKESIDE GROVE","47","CORPORATION RISE","618361","15030.3372113","35726.1103658"
"634","LAKESIDE GROVE","53","CORPORATION RISE","618367","15045.3931117","35735.6845528"
"635","LAKESIDE GROVE","55","CORPORATION RISE","618369","15050.8608716","35738.7823296"
"636","LAKESIDE GROVE","57","CORPORATION RISE","618371","15055.573294","35742.0523615"
"637","LAKESIDE GROVE","59","CORPORATION RISE","618373","15061.0435964","35745.1465364"
"638","LAKESIDE GROVE","61","CORPORATION RISE","618375","15065.7470898","35748.4129058"
"639","LAKESIDE GROVE","63","CORPORATION RISE","618377","15071.2117321","35751.5101378"
"640","LAKESIDE GROVE","65","CORPORATION RISE","618379","15075.6435097","35754.7179085"
"641","null","665A","JURONG WEST STREET 64","641665","13510.7646885","35806.597959"
"642","null","613","JURONG WEST STREET 62","640613","13237.3721826","35772.2583261"
"643","null","666A","JURONG WEST STREET 65","641666","13316.6181831","35770.6501276"
"644","NIL","NIL","JURONG WEST STREET 62","NIL","13416.9948999783","35840.54099994481"
"645","LAKESIDE GROVE","49","CORPORATION WALK","618452","15214.5143508","35878.5099665"
"646","LAKESIDE GROVE","51","CORPORATION WALK","618454","15220.6071446","35878.3159185"
"647","LAKESIDE GROVE","53","CORPORATION WALK","618455","15226.2929551","35878.9102303"
"648","LAKESIDE GROVE","55","CORPORATION WALK","618456","15232.6791667","35878.7746297"
"649","LAKESIDE GROVE","47","CORPORATION WALK","618450","15204.5445613","35871.874831"
"650","LAKESIDE GROVE","57","CORPORATION WALK","618457","15238.3657339","35879.1919647"
"651","LAKESIDE GROVE","45","CORPORATION WALK","618448","15200.0112648","35868.0906369"
"652","LAKESIDE GROVE","59","CORPORATION WALK","618458","15244.1284553","35879.6073322"
"653","LAKESIDE GROVE","43","CORPORATION WALK","618446","15195.3926429","35864.6991698"
"654","LAKEPOINT CONDOMINIUM","8","LAKEPOINT DRIVE","648926","15151.7683363","35918.2644811"
"655","LAKESIDE GROVE","41","CORPORATION WALK","618444","15190.4608382","35860.7217146"
"656","LAKESIDE GROVE","39","CORPORATION WALK","618442","15185.9182192","35857.2277904"
"657","LAKESIDE GROVE","37","CORPORATION WALK","618440","15180.9644702","35853.3076325"
"658","LAKESIDE GROVE","35","CORPORATION WALK","618438","15176.4395579","35850.0210441"
"659","LAKESIDE GROVE","33","CORPORATION WALK","618436","15168.1845707","35843.3675056"
"660","LAKEPOINT CONDOMINIUM","10","LAKEPOINT DRIVE","648927","15205.5121379","35999.3910617"
"661","YUAN CHING SECONDARY SCHOOL","103","YUAN CHING ROAD","618654","15488.8783984","36018.0484285"
"662","THE LAKEFRONT RESIDENCES","46","LAKESIDE DRIVE","648324","15319.372544","36085.2670824"
"663","NIL","NIL","LAKESIDE DRIVE","NIL","15509.57880001951","36102.917999948986"
"664","JURONG LAKE GARDENS WEST","NIL","NIL","NIL","16113.9410981603","35209.1933183298"
"665","null","106","YUAN CHING ROAD","619616","15602.884333","36162.8985282"
"666","null","309A","BUKIT BATOK STREET 31","651309","18593.1236417","37770.8446343"
"667","HONG KAH GREEN","309","BUKIT BATOK STREET 31","650309","18590.4605434","37817.6560991"
"668","HONG KAH GREEN","301","BUKIT BATOK STREET 31","650301","18577.4723095","37651.4359554"
"669","THE MADEIRA","50","BUKIT BATOK STREET 31","659442","18672.9778471","37766.7166564"
"670","BUKIT BATOK NEW TOWN","NIL","NIL","NIL","19005.3876082795","37049.5672820082"
"671","null","816","BUKIT BATOK WEST AVENUE 5","659089","18852.9042721","38824.288422"
"672","ESSO BUKIT BATOK","813","BUKIT BATOK WEST AVENUE 5","659084","18791.9654983","38748.764203"
"673","BUKIT BATOK DRIVING TEST CENTRE","815","BUKIT BATOK WEST AVENUE 5","659085","18778.4811721","38779.9973722"
"674","KEAT HONG COLOURS","812","CHOA CHU KANG AVENUE 7","680812","18229.562661","39387.7785458"
"675","NIL","NIL","BRICKLAND ROAD","NIL","17686.174499965764","39474.27499999574"
"676","CHOA CHU KANG NEW TOWN","NIL","NIL","NIL","18366.2526256323","40843.7247884465"
"677","null","485A","CHOA CHU KANG AVENUE 5","681485","17432.8321462","39624.0119864"
"678","null","485","CHOA CHU KANG AVENUE 5","680485","17363.7574292","39666.069834"
"679","NIL","NIL","CHOA CHU KANG AVENUE 5","NIL","17299.304999977227","39672.38269999828"
"680","BUKIT PANJANG PARK","NIL","NIL","NIL","20571.0535795493","40449.6011963206"
"681","NIL","NIL","KRANJI EXPRESSWAY","NIL","19075.064199987282","41214.07820001981"
"682","VILLA VERDE PARK","NIL","NIL","NIL","18996.5540077419","41444.4456874349"
"683","MWS NURSING HOME (YEW TEE)","51","CHOA CHU KANG NORTH 6","689581","18955.6515458","41943.8481451"
"684","KHATIB MRT STATION","201","YISHUN AVENUE 2","769092","27962.3108561","44352.5679936"
"685","WOODLANDS NEW TOWN","NIL","NIL","NIL","22975.4775479783","46740.6675031211"
"686","YISHUN NEW TOWN","NIL","NIL","NIL","28705.8589874373","45469.9292652448"
"687","null","171","WOODLANDS STREET 11","730171","21679.9344961","46187.2629163"
"688","null","154","WOODLANDS STREET 13","730154","21557.8846027","46266.0155184"
"689","NIL","NIL","WOODLANDS CLOSE","NIL","25015.932899958643","46432.447100093064"
"690","POLARIS @ WOODLANDS","101","WOODLANDS AVENUE 12","737719","25313.3413386","46819.0127008"
"691","NIL","NIL","SEMBAWANG CLOSE","NIL","25976.711799992336","47732.612200111544"
"692","NIL","NIL","ADMIRALTY ROAD WEST","NIL","21109.55600004986","47828.004700113415"
"693","EASTCREEK @ CANBERRA","NIL","NIL","NIL","27802.4872029354","48121.6294302293"
"694","NIL","NIL","ADMIRALTY DRIVE","NIL","25802.92230003453","48139.27280011714"
"695","EASTCREEK @ CANBERRA","102A","CANBERRA STREET","751102","27878.5864956","48091.166976"
"696","EASTCREEK @ CANBERRA","102","CANBERRA STREET","750102","27865.1394595","48161.9997786"
"697","null","60B","YUAN CHING ROAD","619674","16871.2172148","35156.316329"
"698","JAPANESE GARDEN","NIL","NIL","NIL","16651.0217421648","35267.1324729122"
"699","CHINESE GARDEN","NIL","NIL","NIL","16507.1934499725","35650.7451844729"
"700","null","70B","YUAN CHING ROAD","619629","16602.9138769","35704.5525392"
"701","null","70A","YUAN CHING ROAD","619676","16484.0806832","35663.2150998"
"702","JURONGVILLE @ AVENUE 1","490","JURONG WEST AVENUE 1","640490","16194.6797434","36856.4140077"
"703","CANAL","NIL","NIL","NIL","15954.6714866902","37311.2370952792"
"704","null","420","JURONG WEST STREET 42","640420","16187.1559096","36965.1362723"
"705","null","421","JURONG WEST STREET 42","640421","16206.7468016","36923.7678083"
"706","null","419","JURONG WEST STREET 42","640419","16187.1537606","37005.1777274"
"707","null","417","JURONG WEST STREET 42","640417","16206.3275597","37046.6939295"
"708","null","931","JURONG WEST STREET 42","649370","16239.7561566","37175.113932"
"709","NIL","NIL","BUKIT BATOK STREET 31","NIL","18605.213199996222","37744.058599971526"
"710","THE VISIONAIRE","202","CANBERRA DRIVE","767963","27289.8063515","47615.0752012"
"711","THE VISIONAIRE","184","CANBERRA DRIVE","767954","27291.864423","47586.9219204"
"712","PUNGGOL PARK","NIL","NIL","NIL","35264.511142623","39905.7306775784"
"713","NIL","NIL","BUKIT TIMAH EXPRESSWAY","NIL","21588.546500006458","40163.33900000525"
"714","null","70","YUAN CHING ROAD","619675","16295.5653243","35589.0823304"
"715","CONEY ISLAND PARK","NIL","NIL","NIL","38037.4399869926","43457.3646809597"
"716","MACRITCHIE RESERVOIR PARK","NIL","NIL","NIL","28035.6115424802","36087.2707208012"
"717","null","181","LORNIE ROAD","297732","27929.0655017","35978.2769335"
"718","NIL","NIL","RESERVOIR ROAD","NIL","28021.018199977003","35950.797199945846"
"719","WESTLAKE GARDENS","1","WESTLAKE AVENUE","574210","28402.2011539","36418.0378659"
"720","WESTLAKE GARDENS","2","WESTLAKE AVENUE","574211","28405.8474774","36382.0094006"
"721","WESTLAKE GARDENS","5","WESTLAKE AVENUE","574214","28424.6193782","36423.8554632"
"722","WESTLAKE GARDENS","4","WESTLAKE AVENUE","574213","28412.9388725","36382.7269032"
"723","WESTLAKE GARDENS","3","WESTLAKE AVENUE","574212","28409.0792203","36418.7547934"
