"","Name","PLN_AREA_N","PLN_AREA_C","CA_IND","REGION_N","REGION_C","INC_CRC","FMEL_UPD_D"
"1","kml_1","BUKIT MERAH","BM","N","CENTRAL REGION","CR","5321BA51A092CCC2","20191206144714"
"2","kml_2","BUKIT PANJANG","BP","N","WEST REGION","WR","6C222E4C54F9F0F7","20191206144714"
"3","kml_3","BUKIT TIMAH","BT","N","CENTRAL REGION","CR","6CCDADD1F85173E9","20191206144714"
"4","kml_4","CENTRAL WATER CATCHMENT","CC","N","NORTH REGION","NR","9F30125764C74984","20191206144714"
"5","kml_5","CHANGI","CH","N","EAST REGION","ER","6F32A6036888B139","20191206144714"
"6","kml_6","CHOA CHU KANG","CK","N","WEST REGION","WR","5224CD5C7960361F","20191206144714"
"7","kml_7","CLEMENTI","CL","N","WEST REGION","WR","1B547582113C390E","20191206144714"
"8","kml_8","HOUGANG","HG","N","NORTH-EAST REGION","NER","6B18B43959CDE4EB","20191206144714"
"9","kml_9","JURONG EAST","JE","N","WEST REGION","WR","97CD8E4DB8DA2A0D","20191206144714"
"10","kml_10","JURONG WEST","JW","N","WEST REGION","WR","15407CC4B888BDB5","20191206144714"
"11","kml_11","KALLANG","KL","N","CENTRAL REGION","CR","C980FA4CF6B7E928","20191206144714"
"12","kml_12","LIM CHU KANG","LK","N","NORTH REGION","NR","DF6880B736F7542D","20191206144714"
"13","kml_13","MANDAI","MD","N","NORTH REGION","NR","2B55BA3D015C2922","20191206144714"
"14","kml_14","NORTH-EASTERN ISLANDS","NE","N","NORTH-EAST REGION","NER","E75708EADCFF04A6","20191206144714"
"15","kml_15","NOVENA","NV","N","CENTRAL REGION","CR","163B19CA54A679AF","20191206144714"
"16","kml_16","PASIR RIS","PR","N","EAST REGION","ER","A68481F35761C70C","20191206144714"
"17","kml_17","PIONEER","PN","N","WEST REGION","WR","3202B87B465BF3BD","20191206144714"
"18","kml_18","PUNGGOL","PG","N","NORTH-EAST REGION","NER","51833C3BEA49A0E9","20191206144714"
"19","kml_19","ANG MO KIO","AM","N","NORTH-EAST REGION","NER","9745C6F57FDB836F","20191206144714"
"20","kml_20","BEDOK","BD","N","EAST REGION","ER","E77152927962088E","20191206144714"
"21","kml_21","BISHAN","BS","N","CENTRAL REGION","CR","F06B9400ED89EF69","20191206144714"
"22","kml_22","BOON LAY","BL","N","WEST REGION","WR","D67ECAA47DF4B485","20191206144714"
"23","kml_23","BUKIT BATOK","BK","N","WEST REGION","WR","AE06442FEB6C5F2A","20191206144714"
"24","kml_24","QUEENSTOWN","QT","N","CENTRAL REGION","CR","1D9A77FAD9B4C935","20191206144714"
"25","kml_25","SELETAR","SL","N","NORTH-EAST REGION","NER","56C392DFB629FEE9","20191206144714"
"26","kml_26","SEMBAWANG","SB","N","NORTH REGION","NR","4794FB10E1985217","20191206144714"
"27","kml_27","SENGKANG","SE","N","NORTH-EAST REGION","NER","B977008C4E1A1CC8","20191206144714"
"28","kml_28","SERANGOON","SG","N","NORTH-EAST REGION","NER","99716E62F6EE17FF","20191206144714"
"29","kml_29","SIMPANG","SM","N","NORTH REGION","NR","B2610C588D69AD76","20191206144714"
"30","kml_30","SOUTHERN ISLANDS","SI","N","CENTRAL REGION","CR","4F0503C0A12D12AF","20191206144714"
"31","kml_31","SUNGEI KADUT","SK","N","NORTH REGION","NR","04C6F9828DBC607D","20191206144714"
"32","kml_32","TAMPINES","TM","N","EAST REGION","ER","20DDDC25B5804F60","20191206144714"
"33","kml_33","TANGLIN","TN","N","CENTRAL REGION","CR","CC1757F6434A3146","20191206144714"
"34","kml_34","TENGAH","TH","N","WEST REGION","WR","0D2FF9150EC36DFE","20191206144714"
"35","kml_35","TOA PAYOH","TP","N","CENTRAL REGION","CR","D70796621F573012","20191206144714"
"36","kml_36","TUAS","TS","N","WEST REGION","WR","5708A19A15524F9D","20191206144714"
"37","kml_37","DOWNTOWN CORE","DT","Y","CENTRAL REGION","CR","CE4B48C87C8B96CF","20191206144714"
"38","kml_38","MARINA EAST","ME","Y","CENTRAL REGION","CR","1B9566319261C802","20191206144714"
"39","kml_39","MARINA SOUTH","MS","Y","CENTRAL REGION","CR","B8C58231EDA3C8A6","20191206144714"
"40","kml_40","MUSEUM","MU","Y","CENTRAL REGION","CR","0FF25CE84EE9F18C","20191206144714"
"41","kml_41","NEWTON","NT","Y","CENTRAL REGION","CR","45715157A7A3A806","20191206144714"
"42","kml_42","ORCHARD","OR","Y","CENTRAL REGION","CR","6F796784885688A9","20191206144714"
"43","kml_43","OUTRAM","OT","Y","CENTRAL REGION","CR","D346689682541537","20191206144714"
"44","kml_44","RIVER VALLEY","RV","Y","CENTRAL REGION","CR","A145C7D45897566D","20191206144714"
"45","kml_45","ROCHOR","RC","Y","CENTRAL REGION","CR","83A4DC56F78F7A3E","20191206144714"
"46","kml_46","SINGAPORE RIVER","SR","Y","CENTRAL REGION","CR","EA4AA9165CE146C1","20191206144714"
"47","kml_47","STRAITS VIEW","SV","Y","CENTRAL REGION","CR","23358C7A78E76CE2","20191206144714"
"48","kml_48","CHANGI BAY","CB","N","EAST REGION","ER","42AC44DA6E3279E0","20191206144714"
"49","kml_49","MARINE PARADE","MP","N","CENTRAL REGION","CR","C73536F2CD6206F6","20191206144714"
"50","kml_50","GEYLANG","GL","N","CENTRAL REGION","CR","31B24F4378BBAF9C","20191206144714"
"51","kml_51","PAYA LEBAR","PL","N","EAST REGION","ER","CF70A103EED749D0","20191206144714"
"52","kml_52","WESTERN ISLANDS","WI","N","WEST REGION","WR","FAF4016A22F192E5","20191206144714"
"53","kml_53","WESTERN WATER CATCHMENT","WC","N","WEST REGION","WR","53C9CA98365E8A5B","20191206144714"
"54","kml_54","WOODLANDS","WD","N","NORTH REGION","NR","4DBDA89C0D15D5FD","20191206144714"
"55","kml_55","YISHUN","YS","N","NORTH REGION","NR","D20FD597C82D190A","20191206144714"
