"","OBJECTID","INFORMATIO","OPENINGHOU","OPENINGH_1","OPENINGH_2","FACILITIES","SPORTS","TAGS","POSTAL_COD","ADDRESS","SCHOOL_NAM","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR"
"58",58,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Keming Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","659762","90 Bukit Batok East Ave 6","Keming Primary School","33B15067420FC1A3",2015-02-11,19386.7448,36355.94
"59",59,"https://www.myactivesg.com/facilities/school-facilities/kent-ridge-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Kent Ridge Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportS","127368","147 West Coast Road","Kent Ridge Secondary School","84CBBEEB9E3E0BF1",2015-02-11,20388.6902,31522.6122
"60",60,"https://www.myactivesg.com/facilities/school-facilities/kranji-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Kranji Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","689333","61 Choa Chu Kang Street 51","Kranji Secondary School","02514AFA9CF0416A",2015-02-11,17736.2807,41329.3195
"61",61,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Loyang Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","519419","3 Pasir Ris Drive 6","Loyang Primary School","8524297102D63B99",2015-02-11,41632.4785,39242.801
"62",62,"https://www.myactivesg.com/facilities/school-facilities/macpherson-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, MacPherson Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","379499","121 Circuit Road","MacPherson Secondary School","B17EB77A86ED152B",2015-02-11,34133.1579,34400.5017
"63",63,"https://www.myactivesg.com/facilities/school-facilities/marsiling-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Marsiling Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","739110","12 Marsiling Road","Marsiling Secondary School","6D19E5364931D8D3",2015-02-11,21622.217,46482.4186
"64",64,"https://www.myactivesg.com/facilities/school-facilities/mayflower-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Mayflower Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","569384","2 Ang Mo Kio Street 21","Mayflower Secondary School","A46558E917952D7A",2015-02-11,28227.2666,38922.1546
"65",65,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Meridian Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","518798","20 Pasir Ris Street 71","Meridian Primary School","FCA675B61AC4EA2D",2015-02-11,39303.5467,39724.6875
"66",66,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Meridian Junior College, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","518799","21 Pasir Ris Street 71","Meridian Junior College","1B9B01826B524C3A",2015-02-11,39537.677,39813.7649
"67",67,"https://www.myactivesg.com/facilities/school-facilities/nan-hua-high-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Nan Hua High School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG, Activ","129956","41 Clementi Avenue 1","Nan Hua High School","DFE1C890D4CF927F",2015-02-11,20793.1073,32268.1093
"68",68,"https://www.myactivesg.com/facilities/school-facilities/naval-base-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Naval Base Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportS","768689","901 Yishun Ring Road","Naval Base Secondary School","5E3F0DE22A7AFB79",2015-02-11,27746.8821,44558.45
"69",69,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, New Town Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","148812","300 Tanglin Halt Road","New Town Primary School","4D499656C96770ED",2015-02-11,24288.0244,31352.0828
"70",70,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, North View Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","768960","210 Yishun Avenue 6","North View Primary School","3F057D7026D12CBE",2015-02-11,29655.0571,45473.7924
"71",71,"https://www.myactivesg.com/facilities/school-facilities/north-view-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, North View Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","768680","530 Yishun Ring Road","North View Secondary School","9A8E27EACDC17F7F",2015-02-11,29262.4245,45493.6103
"72",72,"https://www.myactivesg.com/facilities/school-facilities/north-vista-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, North Vista Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","545081","11 Rivervale Link","North Vista Secondary School","043E1DDE125DEF04",2015-02-11,35301.3779,40357.4456
"73",73,"https://www.myactivesg.com/facilities/school-facilities/northbrooks-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Northbrooks Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","768692","585 Yishun Ring Road","Northbrooks Secondary School","5A83115179B464E7",2015-02-11,29306.6786,44739.3238
"74",74,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Northland Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","769026","15 Yishun Avenue 4","Northland Primary School","63AEC70942DDB648",2015-02-11,28831.7861,44786.0972
"75",75,"https://www.myactivesg.com/facilities/school-facilities/northland-secondary-school-hall",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Northland Secondary School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","768578","3 Yishun Street 22","Northland Secondary School","2B20AE6AA58E0D5D",2015-02-11,28755.1915,46382.3105
"76",76,"https://www.myactivesg.com/facilities/school-facilities/orchid-park-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Orchid Park Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","768454","10 Yishun Street 81","Orchid Park Secondary School","4760BF60CF625921",2015-02-11,28505.312,44124.447
"77",77,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Park View Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","519524","60, Pasir Ris Drive 1","Park View Primary School","A0A62B26032F5FAC",2015-02-11,39821.3172,39929.5384
"78",78,"https://www.myactivesg.com/facilities/school-facilities/pasir-ris-crest-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Pasir Ris Crest Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, S","518934","11 Pasir Ris Street 41","Pasir Ris Crest Secondary School","137BDD09B0F3E216",2015-02-11,42027.1679,39372.7016
"79",79,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Pasir Ris Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","518968","5 Pasir Ris Street 21","Pasir Ris Primary School","1495DE10F6C95D6D",2015-02-11,42410.5144,39380.9922
"80",80,"https://www.myactivesg.com/facilities/school-facilities/pasir-ris-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Pasir Ris Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG","529400","390 Tampines Street 21","Pasir Ris Secondary School","4904791C7D01A9A4",2015-02-11,40831.1484,37414.9812
"81",81,"https://www.myactivesg.com/facilities",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Peicai Secondary School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","556094","10 Serangoon Avenue 4","Peicai Secondary School","0675046F01BC70BD",2015-02-11,32083.4127,37953.8991
"82",82,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Eunos Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","419529","95 Jalan Eunos","Eunos Primary School","B0BF7D28665E6345",2015-02-11,35899.9074,34072.9419
"83",83,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Evergreen Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","738489","11 Woodlands Street 83","Evergreen Secondary School","C3016E5AC790C665",2015-02-11,23599.0225,46988.4332
"84",84,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Fengshan Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","469680","307 Bedok North Road","Fengshan Primary School","B2ACC27FBBC06C8C",2015-02-11,38949.9916,34668.9256
"85",85,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Fernvale Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","797701","1 Fernvale Lane","Fernvale Primary School","E48903CF7B25A6DC",2015-02-11,32538.5502,41322.4148
"86",86,"https://www.myactivesg.com/facilities/school-facilities/first-toa-payoh-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, First Toa Payoh Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Footbal","319133","580 Toa Payoh East","First Toa Payoh Secondary School","9AA18F35DC3742E3",2015-02-11,30816.7554,34993.2456
"87",87,"https://www.myactivesg.com/facilities",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Frontier Primay School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","642656","20 Jurong West Street 61","Frontier Primary School","CF45DD0D01C4BD0B",2015-02-11,13099.1323,35344.4104
"88",88,"https://www.myactivesg.com/facilities/school-facilities/queensway-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Queensway Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG","149295","2A Margaret Drive","Queensway Secondary School","F7E4F1E8920A4DC3",2015-02-11,24483.7646,31425.477
"89",89,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Radin Mas Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","99840","1 Bukit Purmei Avenue","Radin Mas Primary School","E28BECAC00CDE1AA",2015-02-11,26982.9455,28604.3003
"90",90,"https://www.myactivesg.com/facilities/school-facilities/regent-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Regent Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","689621","50 Choa Chu Kang North 5","Regent Secondary School","9DC43C8E0D1D3EE4",2015-02-11,18804.0318,41666.9422
"91",91,"https://www.myactivesg.com/facilities/school-facilities/riverside-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Riverside Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG","738524","3 Woodlands Street 81","Riverside Secondary School","7C72D9A40A585B7F",2015-02-11,22991.6286,46972.6443
"92",92,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Rosyth Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","555855","21 Serangoon North Avenue 4","Rosyth Primary School","78813F274F842DE3",2015-02-11,32604.4948,39435.6082
"93",93,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Sembawang Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","757715","10 Sembawang Drive","Sembawang Primary School","164E841DCD510AC6",2015-02-11,26631.529,47411.1044
"94",94,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Sembawang Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG","757704","30 Sembawang Crescent","Sembawang Secondary School","3CCD3B6923AED65A",2015-02-11,26166.5559,47441.1154
"95",95,"https://www.myactivesg.com/facilities/school-facilities/sengkang-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Sengkang Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","545090","10 Compassvale Lane","Sengkang Secondary School","6E2CB9AF863D8BF5",2015-02-11,35237.8334,40947.5024
"96",96,"https://www.myactivesg.com/facilities/school-facilities/serangoon-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Serangoon Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","534237","11 Upper Serangoon View","Serangoon Secondary School","70291EB4D6C07E7D",2015-02-11,35658.8372,39628.0335
"97",97,"https://www.myactivesg.com/facilities/school-facilities/serangoon-garden-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Serangoon Garden Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore,","555889","21 Serangoon North Avenue 1","Serangoon Garden Secondary School","EB2E2DA22EAA1DA1",2015-02-11,32000.9928,39038.6245
"98",98,"https://www.myactivesg.com/facilities/school-facilities/shuqun-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Shuqun Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG, A","609604","450 Jurong East Street 21","Shuqun Secondary School","2342D217A511D062",2015-02-11,17555.6662,35834.0789
"99",99,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Si Ling Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","739067","61 Woodlands Avenue 1","Si Ling Primary School","30F9925B80952089",2015-02-11,22709.5355,46046.2426
"100",100,"https://www.myactivesg.com/facilities/school-facilities/si-ling-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Si Ling Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","739148","11 Marsiling Lane","Si Ling Secondary School","9E2493B7F1C5D8EE",2015-02-11,21510.0906,47377.1761
"101",101,"https://www.myactivesg.com/facilities/school-facilities/siglap-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Siglap Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","519385","10 Pasir Ris Drive 10","Siglap Secondary School","6BFA672736B72154",2015-02-11,39752.403,40151.8609
"102",102,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, South View Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","689762","6 Choa Chu Kang Central","South View Primary School","D0FFA28FFCFBBCED",2015-02-11,18397.2467,40382.5934
"103",103,"https://www.myactivesg.com/facilities/school-facilities/springfield-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Springfield Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","529593","30 Tampines Avenue 8","Springfield Secondary School","A2A3A5C098C09F3C",2015-02-11,38783.8651,36854.9463
"104",104,"https://www.myactivesg.com/facilities/school-facilities/st-gabriels-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, St Gabriel's Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, Spor","556140","24 Serangoon Avenue 1","St Gabriel's Secondary School","954220D7FE4372DF",2015-02-11,32720.3962,36530.6264
"105",105,"https://www.myactivesg.com/facilities/school-facilities/tanglin-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Tanglin Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","127391","301 West Coast Road","Tanglin Secondary School","190C6EC0B7EE1D2E",2015-02-11,19635.3717,32445.8026
"106",106,"https://www.myactivesg.com/facilities/school-facilities/broadrick-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Broadrick Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","399935","61 Dakota Crescent","Broadrick Secondary School","39C69152685255F8",2015-02-11,33938.1217,32202.883
"107",107,"https://www.myactivesg.com/facilities/school-facilities/bukit-merah-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bukit Merah Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","159050","10 Lengkok Bahru","Bukit Merah Secondary School","1A71E9E2EFB76F53",2015-02-11,25741.2849,29801.0062
"108",108,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bukit Panjang Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Pla","679676","109 Cashew Road","Bukit Panjang Primary School","D50EA5D4401D153E",2015-02-11,20877.4627,39497.1872
"109",109,"https://www.myactivesg.com/facilities/school-facilities/bukit-view-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bukit View Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportS","659633","16 Bukit Batok Street 21","Bukit View Secondary School","E8661FB35FFC70A0",2015-02-11,18975.3525,36429.9899
"110",110,"https://www.myactivesg.com/facilities/school-facilities/canberra-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Canberra Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","757699","51 Sembawang Drive","Canberra Secondary School","937DE4C886954036",2015-02-11,25871.842,48315.7548
"111",111,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Casuarina Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","518935","30 Pasir Ris Street 41","Casuarina Primary School","2CB02A7C86D6B081",2015-02-11,41766.4983,39385.595
"112",112,"https://www.myactivesg.com/facilities/school-facilities",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bukit Panjang Government High School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG,","689809","7 Choa Chu Kang Avenue 4","Bukit Panjang Government High School","11CD91831289386D",2015-02-11,17431.6297,40465.2076
"113",113,"https://www.myactivesg.com/facilities/school-facilities",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Cantonment Primary School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","88256","1 Cantonment Close","Cantonment Primary School","ACAD694823BA15C0",2015-02-11,28739.4313,28660.7932
"114",114,"https://www.myactivesg.com/facilities/school-facilities",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Dunman High School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","436895","10 Tanjong Rhu Road","Dunman High School","0D358461368E883B",2015-02-11,33522.5936,31368.7556
"115",115,"https://www.myactivesg.com/facilities/school-facilities",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Edgefield Secondary School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","828814","36 Punggol Field","Edgefield Secondary School","3043C079EC05F50D",2015-02-11,35659.0314,42450.3402
