title,rating,category,address,Postal Code,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,placeUrl,latitude,longitude,,
Jurong West ActiveSG Sports Centre,4.3,Sports complex,"20 Jurong West Street 93, Singapore 648965",648965,https://www.myactivesg.com/facilities/jurong-west-sports-centre,+65 6515 5331,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOruK9lNCH3uQo-MwYLHQAJJvimoCeaZvYCCXt0=w408-h306-k-no,https://www.google.com/maps/place/Jurong+West+ActiveSG+Sports+Centre/data=!4m7!3m6!1s0x31da0f9a82bb0513:0xd375d9c4ac268de2!8m2!3d1.3378059!4d103.6941925!16s%2Fm%2F0640rwc!19sChIJEwW7gpoP2jER4o0mrMTZddM,1.3378125,103.6941875,1,1
Ngee Ann Sports Complex,4.4,Sports complex,"535 Clementi Rd, Singapore 599489",599489,np.edu.sg,+65 6466 6555,Open 24 hours,Closed,Closed,Closed,Closed,Closed,8a.m.–8p.m.,https://lh5.googleusercontent.com/p/AF1QipO1diZF6ul7qg0TiixaDPmDcOOCDmaBHk-5lOA5=w408-h306-k-no,https://www.google.com/maps/place/Ngee+Ann+Sports+Complex/data=!4m7!3m6!1s0x31da1087de7d5255:0x2925fd3a198bf2!8m2!3d1.3356635!4d103.776741!16s%2Fg%2F1261q22w4!19sChIJVVJ93ocQ2jER8osZOv0lKQA,1.3356875,103.7766875,1,1
Bukit Gombak ActiveSG Sport Centre,4.3,Sports complex,"810 Bukit Batok West Ave. 5, Singapore 659088",659088,https://www.myactivesg.com/facilities/bukit-gombak-sports-centre,+65 6896 2193,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,https://lh5.googleusercontent.com/p/AF1QipPd978HjwN6hY23wQmsrnJ8wPpMxEWYmdcl_d5U=w408-h240-k-no-pi-31.145308-ya13.715322-ro8.915171-fo100,https://www.google.com/maps/place/Bukit+Gombak+ActiveSG+Sport+Centre/data=!4m7!3m6!1s0x31da1049fe5d272b:0x587ee1040d846383!8m2!3d1.359667!4d103.752228!16s%2Fg%2F11g6xqyb72!19sChIJKydd_kkQ2jERg2OEDQThflg,1.3596875,103.7521875,1,1
Clementi ActiveSG Sports Centre,4.1,Sports complex,"518 Clementi Ave 3, Clementi Sports Hall, Sports Complex, Singapore 129907",129907,https://www.myactivesg.com/facilities/clementi-sports-centre,+65 6776 2560,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipN6VMKxq2-WCqqV3DkfrThoL7zEMfO4zYU8GHl5=w426-h240-k-no,https://www.google.com/maps/place/Clementi+ActiveSG+Sports+Centre/data=!4m7!3m6!1s0x31da1a8d98421381:0x511ab103d397a8b1!8m2!3d1.311074!4d103.765017!16s%2Fg%2F1x6p_8sf!19sChIJgRNCmI0a2jERsaiX0wOxGlE,1.3110625,103.7650625,1,1
Choa Chu Kang ActiveSG Sports Centre,4.1,Sports complex,"1 Choa Chu Kang Street 53, Singapore 689236",689236,https://www.myactivesg.com/facilities/choa-chu-kang-sports-centre,+65 6767 1735,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipOu8h4qhZpRYsFqm60MsG7vWvkK-2NgKF21NPyx=w408-h306-k-no,https://www.google.com/maps/place/Choa+Chu+Kang+ActiveSG+Sports+Centre/data=!4m7!3m6!1s0x31da11edb9fd65fd:0x870202202748aef3!8m2!3d1.3910416!4d103.7481531!16s%2Fg%2F1w8w7j3n!19sChIJ_WX9ue0R2jER865IJyACAoc,1.3910625,103.7481875,1,1
Singapore Polytechnic Sports Complex,,Sports complex,"500 Dover Rd, Singapore 139651",139651,,,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=__g0_bgyEViB-yT5LFSdtw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=59.39496&pitch=0&thumbfov=100,https://www.google.com/maps/place/Singapore+Polytechnic+Sports+Complex/data=!4m7!3m6!1s0x31da1b0a143d7925:0xbe0e90a637ae6cfe!8m2!3d1.309163!4d103.7751244!16s%2Fg%2F11h1lqz4z7!19sChIJJXk9FAob2jER_myuN6aQDr4,1.3091875,103.7750625,1,1
Jurong East Sports Centre,4.2,Sports complex,"21 Jurong East Street 31, Singapore 609517",609517,https://www.myactivesg.com/facilities/jurong-east-sports-centre,+65 6563 5052,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNAv6GQAvEpwktun8qi-mH2XYb2Wqx1eSm48Mo=w408-h306-k-no,https://www.google.com/maps/place/Jurong+East+Sports+Centre/data=!4m7!3m6!1s0x31da10200aaf70d9:0x9cbffa36f037cc35!8m2!3d1.346998!4d103.729109!16s%2Fg%2F11r_p9246!19sChIJ2XCvCiAQ2jERNcw38Db6v5w,1.3469375,103.7290625,1,1
Bishan ActiveSG Sports Centre,4.1,Sports complex,"5 Bishan Street 14, Singapore 579783",579783,https://www.myactivesg.com/facilities/bishan-sports-centre,+65 6352 6631,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,https://lh5.googleusercontent.com/p/AF1QipNLCZZe1g99GXOOwmX1J36vSMG7f2atj4EPR44f=w431-h240-k-no,https://www.google.com/maps/place/Bishan+ActiveSG+Sports+Centre/data=!4m7!3m6!1s0x31da171a1ea97e09:0xe686d1bd812a620e!8m2!3d1.3555048!4d103.8509503!16s%2Fg%2F11c70cpz_n!19sChIJCX6pHhoX2jERDmIqgb3RhuY,1.3555625,103.8509375,1,2
MOE (Evans) ActiveSG Sports Hall,4.2,Sports complex,"21 Evans Rd, Singapore 259366",259366,https://www.myactivesg.com/Facilities/moe-evans-sports-hall,+65 6468 8393,6–10p.m.,6–10p.m.,6–10p.m.,6–10p.m.,6–10p.m.,2–10p.m.,8a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipNKL0_OMFd4VZP0tTZ19jyPy31qJL_nx-dLE-Iy=w408-h306-k-no,https://www.google.com/maps/place/MOE+(Evans)+ActiveSG+Sports+Hall/data=!4m7!3m6!1s0x31da1b6aa6ce81d7:0x93fbca1a125500c6!8m2!3d1.3185662!4d103.8186802!16s%2Fg%2F11g1y1k687!19sChIJ14HOpmob2jERxgBVEhrK-5M,1.3185625,103.8186875,1,1
Yio Chu Kang Sports And Recreation Centre,,Sports complex,"214 Ang Mo Kio Ave 9, Singapore 569780",569780,https://www.myactivesg.com/facilities/yio-chu-kang-sports-centre,,8a.m.–8:30p.m.,8a.m.–8:30p.m.,8a.m.–8:30p.m.,8a.m.–8:30p.m.,8a.m.–8:30p.m.,8a.m.–8:30p.m.,8a.m.–8:30p.m.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OZmH7u596Y4WeIBC2HMB5Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=173.4522&pitch=0&thumbfov=100,https://www.google.com/maps/place/Yio+Chu+Kang+Sports+And+Recreation+Centre/data=!4m7!3m6!1s0x31da169543d8408b:0xb5c33b3f717a439f!8m2!3d1.383762!4d103.845894!16s%2Fg%2F11fnwhj_h7!19sChIJi0DYQ5UW2jERn0N6cT87w7U,1.3838125,103.8459375,1,1
Toa Payoh ActiveSG Sports Hall,4.1,Sports complex,"297 Lor 6 Toa Payoh, Singapore 319389",319389,https://www.myactivesg.com/facilities/toa-payoh-sports-centre,+65 6259 2916,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipMQyaImKePy1vvGPOLkXecKAUHstRYiO5TLkoUC=w425-h240-k-no,https://www.google.com/maps/place/Toa+Payoh+ActiveSG+Sports+Hall/data=!4m7!3m6!1s0x31da1763e9258347:0x9f7dcd0b3ef1f9f8!8m2!3d1.3305324!4d103.8515678!16s%2Fm%2F0642fbj!19sChIJR4Ml6WMX2jER-PnxPgvNfZ8,1.3305625,103.8515625,1,2
Ngee Ann Kongsi Sports Complex,3,Sports complex,"1 Technology Dr, Singapore 138572",138572,https://thengeeannkongsi.com.sg/en/about-us/,,7a.m.–6p.m.,7a.m.–6p.m.,7a.m.–6p.m.,7a.m.–6p.m.,7a.m.–5:30p.m.,Closed,Closed,https://lh5.googleusercontent.com/p/AF1QipP-cu7_pNpkt4svaIo7JjP1CsyUYCezSI4umBxC=w408-h544-k-no,https://www.google.com/maps/place/Ngee+Ann+Kongsi+Sports+Complex/data=!4m7!3m6!1s0x31da1b0f1e4ea6af:0x1ce7223582c01fa4!8m2!3d1.3130071!4d103.7727634!16s%2Fg%2F11f9c_q52n!19sChIJr6ZOHg8b2jERpB_AgjUi5xw,1.3130625,103.7728125,1,1
Sports & Recreation Centre,3.3,Sports complex,"810 Bukit Batok East Ave 5, Bukit Gombak Stadium, Singapore 659081",659081,,+65 6896 2194,7a.m.–10p.m.,8a.m.–10p.m.,7a.m.–10p.m.,8a.m.–10p.m.,7a.m.–10p.m.,8a.m.–10p.m.,9a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipOUtIx1E1gI2SVvXUjWLXjB3js9ZUtMPn8iGi-1=w426-h240-k-no,https://www.google.com/maps/place/Sports+%26+Recreation+Centre/data=!4m7!3m6!1s0x31da1047acdd4e5d:0x54c208d392c3636d!8m2!3d1.3592227!4d103.7518537!16s%2Fg%2F1ts3hqj8!19sChIJXU7drEcQ2jERbWPDktMIwlQ,1.3591875,103.7518125,1,1
Woodlands ActiveSG Sports Centre,4.1,Sports complex,"2 Woodlands Street 12, Singapore 738599",738599,https://www.myactivesg.com/facilities/woodlands-sports-centre,+65 6362 9100,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMyN2nhF7MOt3nLFCYGEqDtIvgxOMuUSMSVNW_Z=w408-h306-k-no,https://www.google.com/maps/place/Woodlands+ActiveSG+Sports+Centre/data=!4m7!3m6!1s0x31da13ac03679857:0x934ab4dbc0023ea8!8m2!3d1.434104!4d103.779798!16s%2Fg%2F1thptbmx!19sChIJV5hnA6wT2jERqD4CwNu0SpM,1.4340625,103.7798125,1,1
Yishun Sports Hall,4.1,Sports complex,"101 Yishun Ave 1, Singapore 769130",769130,https://www.myactivesg.com/facilities/yishun-sports-hall,+65 6851 8600,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipNVGuc1KIxk4drzBSj7T5Gm5Jpnfrjo8eaYPSxg=w408-h306-k-no,https://www.google.com/maps/place/Yishun+Sports+Hall/data=!4m7!3m6!1s0x31da140f9796e8e3:0xeae3f21372dddb6e!8m2!3d1.4120977!4d103.8313295!16s%2Fg%2F1ptxrkthg!19sChIJ4-iWlw8U2jERbtvdchPy4-o,1.4120625,103.8313125,1,1
Basketball Court,3.5,Sports complex,"Boon Lay Ave, Block 187, Singapore 640187",640187,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP9Kz9KWFc0t49paxzHiltg8Ett-e09ZPolq8ii=w408-h306-k-no,https://www.google.com/maps/place/Basketball+Court/data=!4m7!3m6!1s0x31da0fed81d37627:0x218d18fe465020ea!8m2!3d1.3455097!4d103.7101509!16s%2Fg%2F11f8cl94hr!19sChIJJ3bTge0P2jER6iBQRv4YjSE,1.3455625,103.7101875,1,1
ACJC Sports Complex,4.1,Sports complex,"25 Dover Close E, Singapore 139745",139745,https://www.apsswim.com/locations,+65 6777 5823,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMk-0dl67JFM-H7rggzDChnQlxQO1dVy_RaDGGI=w408-h306-k-no,https://www.google.com/maps/place/ACJC+Sports+Complex/data=!4m7!3m6!1s0x31da1a5b60f8e591:0x7214b4350fbd1a0d!8m2!3d1.301924!4d103.7863617!16s%2Fg%2F1ptwm8mdd!19sChIJkeX4YFsa2jERDRq9DzW0FHI,1.3019375,103.7863125,2,1
Yio Chu Kang ActiveSG Sports Hall,4.2,Sports complex,"200 Ang Mo Kio Ave 9, Singapore 569770",569770,https://www.myactivesg.com/facilities/yio-chu-kang-sports-hall,+65 6482 4980,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipNRXjUZoYpo6Oupip_2ITHfWzgMGFgPPfALz7Ng=w408-h305-k-no,https://www.google.com/maps/place/Yio+Chu+Kang+ActiveSG+Sports+Hall/data=!4m7!3m6!1s0x31da169544079377:0x369430ff339175b6!8m2!3d1.3835302!4d103.8460471!16s%2Fg%2F11c6v2559n!19sChIJd5MHRJUW2jERtnWRM_8wlDY,1.3835625,103.8460625,1,1
NUS High School Indoor Sports Hall,4,Sports complex,"20 Clementi Ave 1, Singapore 129957",129957,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RJRY50_yTBLqhXlN2mEkSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=155.14365&pitch=0&thumbfov=100,https://www.google.com/maps/place/NUS+High+School+Indoor+Sports+Hall/data=!4m7!3m6!1s0x31da1b69544b149b:0xaeeabcf0c54f8910!8m2!3d1.3074998!4d103.7699191!16s%2Fg%2F11sx7js8lx!19sChIJmxRLVGkb2jEREIlPxfC86q4,1.3074375,103.7699375,1,1
St Wilfred ActiveSG Sports Centre,4.3,Sports complex,"3 St Wilfred Rd, Singapore 327920",327920,https://www.myactivesg.com/facilities/st-wilfred-field,+65 6293 3452,7a.m.–9p.m.,7a.m.–9p.m.,7a.m.–9p.m.,7a.m.–9p.m.,7a.m.–9p.m.,7a.m.–9p.m.,7a.m.–9p.m.,https://lh5.googleusercontent.com/p/AF1QipPiVYjnbktsuU_yqtd_y5DBOF5aZJZDCEUBggze=w408-h306-k-no,https://www.google.com/maps/place/St+Wilfred+ActiveSG+Sports+Centre/data=!4m7!3m6!1s0x31da19d60fa2a7a3:0xc8b704ca952d7dec!8m2!3d1.3253605!4d103.8617278!16s%2Fg%2F11bwpzd_xd!19sChIJo6eiD9YZ2jER7H0tlcoEt8g,1.3253125,103.8616875,1,1
HometeamNS Adventure Centre,4.2,Adventure sports center,"2 Bukit Batok West Ave 7, Singapore 659003",659003,hometeamns.sg,+65 6705 9475,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOq33sSdCKPt6v_J7MhQedlNeZjSAGu-nZzGID-=w426-h240-k-no,https://www.google.com/maps/place/HometeamNS+Adventure+Centre/data=!4m7!3m6!1s0x31da11cc9ef7e02f:0x24a772e840c77c25!8m2!3d1.3665062!4d103.7461871!16s%2Fg%2F11c5blr1x6!19sChIJL-D3nswR2jERJXzHQOhypyQ,1.3665625,103.7461875,1,1
Sports Schooling Centre for Movement,,Sports complex,"11 Slim Barracks Rise, #04-01, Singapore 138664",138664,sports-schooling.com,+65 8123 6480,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOE-GPkA9yyZJkc5Br5af87x9adk4gjQteWc7LT=w408-h306-k-no,https://www.google.com/maps/place/Sports+Schooling+Centre+for+Movement/data=!4m7!3m6!1s0x31da1b68cd2c9743:0x27ebab98122087c7!8m2!3d1.3038359!4d103.7897048!16s%2Fg%2F11s9jvw8x4!19sChIJQ5cszWgb2jERx4cgEpir6yc,1.3038125,103.7896875,1,1
Golazo Futsal Singapore,4.6,Futsal court,"21 Jurong West Street 23, Singapore 648196",648196,golazo.com.sg,+65 6794 6625,9a.m.–3a.m.,9a.m.–3a.m.,9a.m.–3a.m.,9a.m.–3a.m.,9a.m.–3a.m.,9a.m.–3a.m.,9a.m.–3a.m.,https://lh5.googleusercontent.com/p/AF1QipPMLGnwW3R7suQXnaGh7q9Ng8qVMeYRwpBwLcZ4=w408-h306-k-no,https://www.google.com/maps/place/Golazo+Futsal+Singapore/data=!4m7!3m6!1s0x31da0fc70da8f33d:0xe04105024cb2a58!8m2!3d1.352632!4d103.707391!16s%2Fg%2F11c60crz9l!19sChIJPfOoDccP2jERWCrLJFAQBA4,1.3526875,103.7074375,1,1
Elite Coach Sports Academy,5,Fitness center,"191 thomson road Goldhill Shopping Centre, Corner unit 191B, 3rd Floor (Above SuperCuts Exit United Square, 20m from Novena MRT, Goldhill Plaza, Parking, Singapore 307632",307632,https://elitecoach.com.sg/,+65 8112 9162,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipPP-P4v2XjcKLvznGUFxMCOBsmxZ7VndoXZlNWK=w408-h272-k-no,https://www.google.com/maps/place/Elite+Coach+Sports+Academy/data=!4m7!3m6!1s0x31da19783fcde1d7:0x82fb153320c48953!8m2!3d1.3186753!4d103.8434759!16s%2Fg%2F12mkw96ms!19sChIJ1-HNP3gZ2jERU4nEIDMV-4I,1.3186875,103.8434375,2,1
ActiveSG Park @ Jurong Lake Gardens,4.5,Sports complex,"30 Yuan Ching Rd, Singapore 618664",618664,myactivesg.com,+65 6970 1619,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipPF5cC5az30-h-P7XitCwQcFzev3eCRjeZq8PER=w408-h272-k-no,https://www.google.com/maps/place/ActiveSG+Park+@+Jurong+Lake+Gardens/data=!4m7!3m6!1s0x31da0f2e659d9267:0x14cad1b21523ac26!8m2!3d1.3303597!4d103.7255906!16s%2Fg%2F11fl0bl9rp!19sChIJZ5KdZS4P2jERJqwjFbLRyhQ,1.3303125,103.7255625,1,1
Sengkang Sports Centre,4.3,Sports complex,"57 Anchorvale Rd, Singapore 544964",544964,https://www.myactivesg.com/facilities/sengkang-sports-centre,+65 6315 3576,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMqZ25_SSW_wmAUNEmu5ke5jChwgvmeIuYs6Og-=w426-h240-k-no,https://www.google.com/maps/place/Sengkang+Sports+Centre/data=!4m7!3m6!1s0x31da1673f0d84aed:0x82745e6e60858bde!8m2!3d1.3964799!4d103.8868403!16s%2Fm%2F02z165f!19sChIJ7UrY8HMW2jER3ouFYG5edII,1.3964375,103.8868125,1,1
Sports Lifestyle Centre,3.8,Swimming school,"3500A Bukit Merah Central, Singapore 159837",159837,sportslifestyle.com.sg,+65 6100 0754,9a.m.–9p.m.,9a.m.–7p.m.,9a.m.–9p.m.,9a.m.–7p.m.,9a.m.–7p.m.,9a.m.–7p.m.,9a.m.–7p.m.,https://lh5.googleusercontent.com/p/AF1QipMxdfo7izRg-O_3-vYuaejLt1ZAjXpUi7GgTVXD=w408-h306-k-no,https://www.google.com/maps/place/Sports+Lifestyle+Centre/data=!4m7!3m6!1s0x31da1bd71d6f7871:0x9944f20dd9f16861!8m2!3d1.2821796!4d103.8180726!16s%2Fg%2F1pt_s7csc!19sChIJcXhvHdcb2jERYWjx2Q3yRJk,1.2821875,103.8180625,1,1
SAFRA Jurong,4.2,Recreation center,"333 Boon Lay Way, Singapore 649848",649848,safra.sg,+65 6686 4333,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP77GUgwKfkptXG-TUOXo3VvL6cfmZ9uzY-DyZR=w408-h273-k-no,https://www.google.com/maps/place/SAFRA+Jurong/data=!4m7!3m6!1s0x31da0ff2b432a6cb:0x111f72b021de7cff!8m2!3d1.335065!4d103.7062804!16s%2Fg%2F1vg4g9cl!19sChIJy6YytPIP2jER_3zeIbByHxE,1.3350625,103.7063125,1,1
SAFRA Yishun,4.2,Recreation center,"60 Yishun Ave 4, Singapore 769027",769027,https://www.safra.sg/clubs/yishun,+65 6852 8200,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNWhNAeov7LfH5yi-CssdNAJFWQ5MLSscDfWdHK=w408-h277-k-no,https://www.google.com/maps/place/SAFRA+Yishun/data=!4m7!3m6!1s0x31da146be774be5b:0xf0948ab951c39281!8m2!3d1.4241052!4d103.8407026!16s%2Fg%2F1tfc8pyj!19sChIJW75052sU2jERgZLDUbmKlPA,1.4240625,103.8406875,1,1
Hougang ActiveSG Sports Centre,4.1,Sports complex,"93 Hougang Ave 4, Singapore 538832",538832,https://www.myactivesg.com/facilities/hougang-sports-centre,+65 6315 8671,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipPHDl5LvI-luHSvqjygrFstsZPh8yrIVlLHla-c=w426-h240-k-no,https://www.google.com/maps/place/Hougang+ActiveSG+Sports+Centre/data=!4m7!3m6!1s0x31da1648fe5e7391:0x7686183783cb075!8m2!3d1.3706138!4d103.8885266!16s%2Fg%2F1ptyqn_7q!19sChIJkXNe_kgW2jERdbA8eINhaAc,1.3705625,103.8885625,1,1
Queenstown ActiveSG Stadium,4.2,Stadium,"473A Stirling Rd, Singapore 148949",148949,https://www.myactivesg.com/facilities/queenstown-stadium,+65 6473 7269,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPoyFyVmpZijgDasYpgbGDpAkJAsZGU3XtebvfQ=w408-h306-k-no,https://www.google.com/maps/place/Queenstown+ActiveSG+Stadium/data=!4m7!3m6!1s0x31da1a36e3ec3741:0xd07b93011ae7e79d!8m2!3d1.2958256!4d103.8024525!16zL20vMDlnXzZq!19sChIJQTfs4zYa2jERnefnGgGTe9A,1.2958125,103.8024375,1,1
Smash Arena SG Badminton Hall,4.9,Badminton complex,"511, Block B Upper Jurong Rd, Level 2 D’Arena Country Club, Singapore 638366",638366,https://smasharena.sg/,+65 8922 8465,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,https://lh5.googleusercontent.com/p/AF1QipPCRCclChS5a_20FYGX70R-nNJjqR3JtXwD3H4E=w408-h272-k-no,https://www.google.com/maps/place/Smash+Arena+SG+Badminton+Hall/data=!4m7!3m6!1s0x31da0fa965c60759:0x7bdedb80a1f2a1d7!8m2!3d1.3295857!4d103.6814422!16s%2Fg%2F11n8vt8vt_!19sChIJWQfGZakP2jER16HyoYDb3ns,1.3295625,103.6814375,1,1
